ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
IDHJcb9Ax,2017-01-10 11:50:55,6357104.0,353457,7169,74363610,f,Firefox,Mobile,0
IDM7Jm0H4,2017-01-10 16:10:21,1998281.0,681140,48498,77046603,c,InternetExplorer,,1
IDw5vdffQ,2017-01-15 23:24:24,,436850,5602,72451969,b,InternetExplorer,,1
IDmPcCmJJ,2017-01-12 14:42:41,1393958.0,512802,17714,2050923,d,InternetExplorer,Desktop,1
IDBJRhERb,2017-01-14 16:25:13,9865150.0,923784,43897,78683718,b,IE,Mobile,0
IDawUR7Jx,2017-01-17 12:39:32,4944653.0,852310,17714,29916445,b,Edge,Tablet,0
IDpl8KIRf,2017-01-15 16:48:26,4282928.0,908826,43612,41441342,c,IE,Mobile,1
ID236gyr3,2017-01-13 16:19:30,8422088.0,302434,7169,29916445,a,Firefox,Mobile,0
IDB7hPs5Q,2017-01-19 00:01:50,5931273.0,197307,904,58604466,f,Edge,Tablet,0
IDN2pQSUF,2017-01-16 10:06:26,6718921.0,563474,68575,7122654,a,IE,Mobile,0
IDOo8w3MT,2017-01-16 12:26:15,8790845.0,425621,48498,62201833,f,Chrome,Desktop,1
IDlPziDp3,2017-01-18 12:24:59,66029.0,604343,42227,95013373,f,Chrome,,0
IDaoQaCYc,2017-01-11 18:46:58,,669468,62416,7864011,e,Edge,Tablet,0
ID6PeMccS,2017-01-14 15:11:09,,400090,2053,91553313,c,Firefox,,1
IDoH8qRzN,2017-01-18 10:39:51,1072495.0,911272,97103,67290861,d,Edge,Tablet,0
IDG75kcJ9,2017-01-18 15:18:10,1276895.0,799255,904,26391770,b,InternetExplorer,Desktop,0
IDpWiTRDA,2017-01-11 14:07:30,9848084.0,875936,10345,64511164,c,Google Chrome,Mobile,1
IDEPSKR3P,2017-01-19 03:55:25,3032554.0,669472,42227,49384126,f,Firefox,Mobile,0
IDbcXqRr1,2017-01-14 10:19:00,306338.0,109612,40339,43452411,e,Firefox,Mobile,0
IDsuNCpt6,2017-01-17 09:47:14,3572987.0,447171,54343,30349169,a,Internet Explorer,Tablet,1
IDNj6Chy1,2017-01-19 16:55:20,3309232.0,702967,42227,32738053,a,Mozilla,,0
IDrAqlSYg,2017-01-18 21:10:04,3996270.0,106296,15912,7181598,c,InternetExplorer,,1
ID0YW1E4z,2017-01-11 11:21:42,9228736.0,466894,46450,47079934,d,InternetExplorer,Desktop,1
IDc0t2HSI,2017-01-10 19:09:36,1029403.0,517344,6906,99510044,c,InternetExplorer,Desktop,1
IDTSiP4vR,2017-01-18 16:44:04,6438272.0,329078,34670,87807327,a,Firefox,Mobile,0
IDVRJsyBi,2017-01-11 18:56:19,,415005,68847,91553313,d,InternetExplorer,Desktop,1
IDqEJJw0J,2017-01-17 21:00:32,349636.0,15010,1678,98752616,c,InternetExplorer,Desktop,1
IDaBOtmhX,2017-01-17 06:35:09,2979135.0,557361,10345,26461535,f,Google Chrome,Mobile,1
IDEGihHUg,2017-01-15 15:28:41,844716.0,642515,21407,7122654,a,InternetExplorer,Desktop,1
ID9JGxGNq,2017-01-12 17:23:13,4912131.0,635862,99914,26391770,d,Firefox,Mobile,0
IDufeMGmf,2017-01-17 15:03:25,,288644,54916,29624796,e,InternetExplorer,Desktop,1
IDBFAHJUf,2017-01-13 17:46:17,4113273.0,302205,34670,6171136,a,Firefox,Mobile,0
IDFIJ1095,2017-01-16 14:15:34,2294674.0,468019,33287,91808273,d,Google Chrome,Mobile,1
ID8agCdKu,2017-01-20 16:58:54,6241849.0,158995,6906,99510044,c,Google Chrome,Mobile,1
IDYTm04l3,2017-01-16 15:20:56,2120896.0,687258,40339,7122654,a,Firefox,Mobile,0
IDYXN8No9,2017-01-14 16:30:46,8384999.0,84765,835,58604466,d,Google Chrome,Mobile,1
ID3EPJcbD,2017-01-20 02:32:52,4296415.0,233528,6906,99510044,d,InternetExplorer,Desktop,1
ID1fBzXsT,2017-01-15 17:05:03,6588723.0,457850,72276,44415312,c,Safari,Tablet,1
ID2DgBCvk,2017-01-13 17:22:42,2322380.0,80432,74802,56008048,f,Mozilla,Desktop,0
IDZhVUlP0,2017-01-14 10:09:54,3955448.0,136038,6906,99510044,f,Edge,Tablet,0
ID7pu7aZb,2017-01-10 12:17:53,1652786.0,535881,46365,74363610,a,Edge,Tablet,0
IDyIeceVE,2017-01-18 10:33:41,1446796.0,508075,50584,2050923,d,InternetExplorer,Desktop,1
IDrTZNetD,2017-01-20 13:26:05,2803129.0,532786,40339,37135965,b,Firefox,Mobile,0
IDb0gtnUr,2017-01-13 10:29:48,4802136.0,926463,34670,2835657,f,Firefox,Mobile,0
IDVijXani,2017-01-12 12:26:54,7542744.0,926268,54343,4237811,b,Firefox,Mobile,0
ID5DOhGxf,2017-01-18 10:42:58,2686852.0,175623,35549,74868704,f,Google Chrome,,1
IDf2PQSKH,2017-01-16 11:53:27,7997062.0,245428,5602,60774669,b,Edge,Tablet,0
IDfrfqbRg,2017-01-17 11:05:44,5783842.0,829321,35046,31388981,a,Mozilla Firefox,Desktop,0
IDU4Cb1Qc,2017-01-14 13:58:25,5454012.0,464972,97863,87807327,a,Google Chrome,,1
IDbQEHpPT,2017-01-12 11:38:40,3541164.0,373021,35046,31388981,a,Mozilla,Desktop,0
IDFZNk3z4,2017-01-13 12:02:01,2175593.0,100816,17714,2050923,a,InternetExplorer,,1
IDx8NwHnW,2017-01-13 06:50:41,6743189.0,512184,56811,51330651,b,Mozilla Firefox,Desktop,0
IDjTJZ1hY,2017-01-20 17:56:14,8808257.0,262548,12052,54630329,d,Edge,Tablet,0
IDym5DQEL,2017-01-13 12:42:08,547265.0,614375,80692,27723861,b,Firefox,Mobile,0
IDu7CtPLt,2017-01-13 07:06:16,2626204.0,667092,6906,71165566,b,Edge,,0
IDdopal4B,2017-01-19 19:41:01,4040355.0,225670,904,26391770,b,Internet Explorer,Tablet,0
IDKrYCYNG,2017-01-12 15:40:06,4798606.0,843266,29183,42914671,a,Mozilla Firefox,Desktop,0
IDKa4Xcdy,2017-01-13 11:44:27,8808777.0,993678,80554,57977218,c,,,0
IDjHNBlJO,2017-01-19 12:11:18,8210498.0,573820,17714,16340250,f,InternetExplorer,,0
IDDeCrjvL,2017-01-14 13:48:03,3069969.0,738788,8467,30860214,c,Google Chrome,Mobile,1
IDpEKhvYo,2017-01-20 21:37:40,,781914,64452,87726715,d,Google Chrome,Mobile,1
ID0sc9pjl,2017-01-16 01:11:24,2203657.0,683393,56811,82291592,d,Google Chrome,Mobile,1
IDJWu2jYY,2017-01-13 15:00:40,8647328.0,8860,82877,38492160,e,Google Chrome,Mobile,0
ID7IPOmrI,2017-01-18 15:51:09,6591716.0,969157,22518,48454212,c,Google Chrome,Mobile,1
IDCkevkbo,2017-01-16 12:35:55,,616446,89522,29624796,d,Google Chrome,Mobile,1
IDZL0rguA,2017-01-19 12:15:23,,328284,21407,80645978,a,Edge,Tablet,0
IDWBYxJTv,2017-01-16 19:19:09,7259372.0,112913,6906,99510044,c,InternetExplorer,Desktop,1
IDOhOwDtC,2017-01-14 17:55:14,5866650.0,848623,17714,26391770,c,Firefox,Mobile,1
ID4KdluxG,2017-01-11 15:31:41,,192811,21407,9434818,d,InternetExplorer,,1
IDul45Bba,2017-01-17 12:50:03,13756.0,182472,98552,51854755,d,Firefox,Mobile,0
IDEgqIqic,2017-01-10 13:51:49,256841.0,319021,33638,555603,c,InternetExplorer,Desktop,1
IDNHYS9aD,2017-01-13 17:19:52,6072837.0,351980,20322,79474990,f,Firefox,Mobile,0
ID14xkQec,2017-01-17 12:30:19,,288950,84974,17488931,d,IE,Mobile,1
IDvhdqSwC,2017-01-11 11:59:43,8737609.0,812834,6906,98830533,b,Edge,,0
IDMLGzi9b,2017-01-14 10:34:28,3156537.0,313434,43897,47079934,b,Google Chrome,Mobile,1
IDmeTGHF8,2017-01-14 16:19:25,513071.0,163719,17714,16340250,a,Mozilla,,0
IDhvhIyU2,2017-01-16 11:12:36,584524.0,962535,92704,95441506,a,Firefox,Mobile,0
IDmWvNfCS,2017-01-15 17:21:02,2951553.0,705613,1678,35930802,b,Mozilla Firefox,Desktop,0
IDgEfm7Ua,2017-01-15 07:11:10,1348170.0,201009,11837,89663643,d,Firefox,Mobile,1
IDuZQxFdp,2017-01-13 12:39:13,8470767.0,342614,62416,49384126,e,Edge,Tablet,0
IDqXs0ANY,2017-01-17 16:04:08,186388.0,73387,45287,73166045,b,Firefox,Mobile,0
IDWmNAzlv,2017-01-19 22:19:03,3994348.0,672626,72160,36994522,c,Google Chrome,Mobile,1
IDvfdYYqy,2017-01-18 19:47:00,4056422.0,270428,60316,92771167,f,InternetExplorer,Desktop,1
IDUeVaKRV,2017-01-20 01:21:15,6028853.0,568260,48430,55420443,c,Google Chrome,Mobile,1
IDybjbZYi,2017-01-11 20:54:54,,843837,904,2050923,b,,Tablet,0
IDeFuaPCR,2017-01-17 14:04:33,4746440.0,491775,41640,91553313,a,Firefox,Mobile,0
IDgZ84MHX,2017-01-15 12:45:35,4948683.0,697617,56027,31388981,c,Google Chrome,Mobile,1
IDT8pwHqL,2017-01-10 18:17:01,5724886.0,312241,1678,93157824,b,,Mobile,0
IDqlspwfh,2017-01-14 21:21:29,3187254.0,4562,40339,10518559,d,Google Chrome,Mobile,1
ID7CTAswF,2017-01-13 20:15:31,7142384.0,722622,41706,4000296,d,InternetExplorer,Desktop,1
IDW265daS,2017-01-17 15:47:29,5737019.0,137784,9764,7864011,a,InternetExplorer,Desktop,1
IDZ4xUo0S,2017-01-15 11:14:46,1466152.0,845162,50088,57977218,c,InternetExplorer,Desktop,1
IDJ5QnGEW,2017-01-18 11:18:32,4782754.0,166579,21407,17488931,a,Firefox,Mobile,0
IDB02XhgQ,2017-01-13 09:57:37,6856616.0,712342,9764,82947221,c,,Desktop,1
IDcEOno5H,2017-01-12 00:50:18,9639679.0,59955,48430,39772159,d,InternetExplorer,Desktop,1
IDW0lH3vT,2017-01-11 12:17:10,2531582.0,405389,15912,62201833,e,Mozilla,Desktop,0
IDjliui8n,2017-01-19 22:05:39,2587486.0,189438,6906,99510044,d,Google Chrome,Mobile,1
IDp6hriV3,2017-01-12 13:06:48,8907795.0,526304,23576,45446370,c,InternetExplorer,Desktop,1
IDHHR7uvQ,2017-01-14 15:33:12,8992810.0,883701,6906,99510044,b,,Mobile,0
IDm5K463J,2017-01-14 11:42:27,1881244.0,936267,1678,29916445,b,Google Chrome,Mobile,1
ID9Ylaw73,2017-01-10 17:59:26,4260630.0,546037,45620,31388981,a,Firefox,Mobile,0
IDruoB982,2017-01-20 08:42:13,,172232,1678,87903766,a,Firefox,Mobile,0
IDTmBAjT3,2017-01-14 15:28:17,6267676.0,52279,98552,17990842,b,Firefox,Mobile,0
IDhMqQnUu,2017-01-16 14:29:25,7172694.0,944798,82877,38492160,a,Edge,Tablet,0
IDM1CcTeb,2017-01-17 22:47:33,5906612.0,973817,87732,555603,c,IE,Mobile,1
IDOBbI2mE,2017-01-14 13:55:36,8914376.0,770202,904,26391770,b,Chrome,Desktop,0
IDGqIcDKu,2017-01-16 11:37:31,9840890.0,593672,40339,58321067,b,Mozilla Firefox,Desktop,0
ID5DH7yPf,2017-01-15 14:09:52,7277330.0,32150,80319,87470165,b,Edge,Tablet,0
IDeFpOpBV,2017-01-12 12:35:52,8164813.0,745982,36768,78406516,a,IE,,0
IDKW3edVs,2017-01-19 16:00:03,1402501.0,661135,15124,99558603,b,Firefox,Mobile,0
IDipQdjCb,2017-01-11 14:11:50,1686418.0,68770,43612,74868704,d,InternetExplorer,Desktop,1
IDyXvX68c,2017-01-17 07:07:14,7940903.0,454286,80554,74868704,d,,Mobile,1
IDHg1JjDs,2017-01-18 16:33:57,,593372,41706,4000296,c,InternetExplorer,Desktop,1
IDvFsFcJo,2017-01-12 09:22:42,1713030.0,206844,6906,98830533,b,IE,Mobile,0
ID0OBmzuB,2017-01-18 09:58:21,7017494.0,332242,40339,43452411,a,Mozilla Firefox,,0
IDwvmJiWX,2017-01-15 15:01:35,8838816.0,836739,24888,81758577,a,Firefox,Mobile,0
IDUgjt0tr,2017-01-13 21:52:12,,584881,26162,78365183,c,Google Chrome,,1
IDMw48myC,2017-01-16 12:00:45,29007.0,583955,63392,74363610,e,Google Chrome,Mobile,1
IDOsOEqqG,2017-01-12 19:24:04,,326070,80524,1084693,c,Google Chrome,Mobile,1
IDRMf4X8F,2017-01-20 06:13:19,,843918,10327,74868704,b,Edge,Tablet,0
IDVneByCH,2017-01-19 09:27:12,8016841.0,202478,42227,48913006,c,InternetExplorer,Desktop,1
IDCr92fV2,2017-01-11 19:53:35,6557759.0,285567,40339,37135965,c,Chrome,Desktop,0
IDTMi7BUh,2017-01-13 11:57:27,1036704.0,401756,1678,20116446,c,Google Chrome,Mobile,1
IDKKukoru,2017-01-18 15:34:12,1238382.0,375142,10345,26461535,c,InternetExplorer,,1
IDGf6bund,2017-01-18 07:23:15,3814809.0,575921,97863,87807327,a,Firefox,Mobile,0
IDe10BuIJ,2017-01-20 09:11:08,8684611.0,233745,48498,93157824,f,,Tablet,0
IDFLv5Ihn,2017-01-10 11:09:52,2393735.0,843208,48498,55358028,d,Google Chrome,Mobile,1
IDSMPDvKz,2017-01-16 16:59:38,1028086.0,202659,8467,26832387,b,InternetExplorer,,1
IDAObDXLb,2017-01-20 07:50:53,9365055.0,661823,6906,99510044,b,Edge,Tablet,0
IDuRGrxGt,2017-01-14 16:45:32,,320952,64452,92640312,b,IE,Mobile,0
IDW8flPff,2017-01-20 14:32:25,,564229,40339,43452411,b,Edge,Tablet,0
IDkJ5Y7l2,2017-01-12 14:00:18,,984657,42227,79474990,d,InternetExplorer,Desktop,1
IDStepde4,2017-01-15 22:59:31,8462720.0,786417,29183,42914671,c,Google Chrome,Mobile,1
IDZ4Qr5Yd,2017-01-18 14:29:18,4226456.0,186439,13412,77318092,c,Firefox,Mobile,0
IDbDeU3Pt,2017-01-12 08:32:27,564736.0,278697,45620,31388981,b,Firefox,Mobile,0
IDd6P7Ep1,2017-01-14 10:44:28,4720945.0,272740,6906,99510044,a,Mozilla Firefox,Desktop,0
IDISroXTN,2017-01-12 05:47:40,9492988.0,131616,82396,33683592,a,Firefox,Mobile,0
IDtZSp6yj,2017-01-14 12:31:31,4821008.0,395278,84144,74868704,b,Chrome,Desktop,0
ID3hdAq78,2017-01-17 12:06:16,6446289.0,422017,89522,27578501,a,Mozilla,Desktop,0
IDESVUtzR,2017-01-13 09:35:10,,261191,5602,76683174,f,Mozilla,,1
IDMxN4guc,2017-01-20 11:45:03,5936103.0,916798,36768,47079934,c,InternetExplorer,Desktop,1
IDHQofYOc,2017-01-18 16:24:38,8645551.0,496818,12211,11108754,c,Google Chrome,Mobile,1
IDTI5AG5Z,2017-01-16 14:01:09,1466152.0,461340,50088,57977218,b,Firefox,,0
IDF5HqDdW,2017-01-17 17:22:57,4627504.0,211657,80554,7122654,f,Edge,Tablet,0
IDagbSPRg,2017-01-10 18:53:44,1674862.0,200464,54916,62201833,d,Google Chrome,Mobile,1
IDOFOy93E,2017-01-19 10:28:50,7518928.0,710307,40339,43452411,b,Mozilla,Desktop,0
IDZRFLnSu,2017-01-13 17:57:12,,544971,6906,99510044,b,Google Chrome,Mobile,1
IDx2iajxx,2017-01-19 12:06:15,3245492.0,309117,11837,15961717,c,InternetExplorer,Desktop,1
IDprIeMOh,2017-01-12 23:27:58,4903302.0,381656,7169,57977218,d,Google Chrome,Mobile,1
IDmaWYPxr,2017-01-20 11:12:06,7433545.0,298654,2053,36082259,f,Firefox,Mobile,0
IDUokX5Vc,2017-01-18 13:13:34,5040394.0,321479,70724,78406516,d,InternetExplorer,Desktop,1
IDoOXeZug,2017-01-17 12:33:18,1592649.0,548757,80554,7122654,b,Chrome,Desktop,0
IDLt12xz7,2017-01-14 11:17:49,1542124.0,68770,43612,74868704,c,Edge,Tablet,0
